BusStopCode,RoadName,Description,Latitude,Longitude
1012,Victoria St,Hotel Grand Pacific,1.29684825487647,103.85253591654006
1013,Victoria St,St. Joseph's Ch,1.29770970610083,103.8532247463225
1019,Victoria St,Bras Basah Cplx,1.2969895119133201,103.85302201172507
1029,Nth Bridge Rd,Opp Natl Lib,1.2966729849642,103.85441422464267
1039,Nth Bridge Rd,Bugis Cube,1.29820784139683,103.85549139837407
1059,Victoria St,Bugis Stn Exit B,1.30075679526626,103.85611040457583
1109,Queen St,Queen St Ter,1.30358577565355,103.85650372998224
1112,Victoria St,Opp Bugis Stn Exit C,1.30009212839081,103.85520027125814
1113,Victoria St,Bugis Stn Exit A,1.30117297541547,103.8561140106393
1119,Victoria St,Aft Bugis Stn Exit C,1.2996041093804,103.85512934079571
